variance_id,TransactionID,NSN,Vendor,Plant,Condition_Code,UoM,Feeder_Qty,ERP_Qty,Variance,Absolute_Variance,Variance_Category,PostingDate,Week,Doc_Number,PO_Number,Invoice_ID,Amount,Variance_Amount,Commentary,Next_Steps,Confidence,Escalate,Reviewed,AI_Reason,Evidence_Doc_IDs,record_type,po_number,invoice_id,receipt_id,receipt_po_number,gl_document_id,gl_invoice_id,vendor_id,po_amount,receipt_amount,gl_amount
VAR-000001,TX-1000001,4790-2881-1896,VENDOR-008,PLANT-A,C3,BX,23,23,0,0,Conversion Error,2025-10-25,43,DOC-334053,PO-28289,INV-2719583,23341.05,313.28,Signals indicate a conversion factor issue or rounding/decimal shift during transformation between systems.,Validate conversion factors; correct transform rules; rerun affected batch if applicable.,0.69,FALSE,TRUE,Conversion Error,DOC-001369,variance,PO-00001,INV-00001,RCPT-00001,PO-00001,GL-00001,INV-00001,VENDOR-008,23341.05,23341.05,23341.05
VAR-000002,TX-1000002,3230-6940-5464,VENDOR-048,PLANT-A,D4,EA,26,27,-1,1,Unknown / Needs Review,2025-10-27,44,DOC-131244,PO-22280,INV-4668136,23202.47,257.85,Evidence is insufficient or conflicting; escalate for human review with targeted next steps.,Collect additional documentation and structured extracts; escalate with what’s missing.,0.23,TRUE,TRUE,Unknown / Needs Review,"DOC-001370,DOC-001371",variance,PO-00002,INV-00002,RCPT-00002,PO-00002,GL-00002,INV-00002,VENDOR-048,23202.47,23202.47,23202.47
VAR-000003,TX-1000003,1600-3719-6109,VENDOR-033,PLANT-A,B2,LB,21,21,0,0,Accrual Reversal,2025-10-08,41,DOC-331148,PO-68878,INV-5667265,400.36,200.18,Pattern indicates accrual reversal timing or reversal posted in a different period than expected.,Validate accrual and reversal periods; adjust if misposted; document period evidence.,0.55,TRUE,FALSE,Accrual Reversal,DOC-001372,variance,PO-00003,INV-00003,RCPT-00003,PO-00003,GL-00003,INV-00003,VENDOR-033,400.36,400.36,400.36
VAR-000004,TX-1000004,2178-5090-6667,VENDOR-056,PLANT-A,B2,LB,17,18,-1,1,Missing Receipt,2025-09-22,39,DOC-456778,PO-46421,INV-3608513,24391.68,389.81,Expected receiving activity not found; variance likely tied to incomplete receipt recording.,Validate receiving documentation; record receipt or correct receiving linkage; document proof.,0.61,FALSE,TRUE,Missing Receipt,"DOC-001373,DOC-001374",variance,PO-00004,INV-00004,RCPT-00004,PO-00004,GL-00004,INV-00004,VENDOR-056,24391.68,24391.68,24391.68
VAR-000005,TX-1000005,6704-5226-4208,VENDOR-049,PLANT-C,A1,EA,17,17,0,0,Timing Difference,2025-11-08,45,DOC-498382,PO-22676,INV-7022674,13997.54,164.87,Pattern indicates a timing difference between feeder and ERP posting dates (in-transit or lagging batch).,Confirm posting lag; re-check after next interface cycle; document timing evidence.,0.63,FALSE,TRUE,Timing Difference,"DOC-001375,DOC-001376",variance,PO-00005,INV-00005,RCPT-00005,PO-00005,GL-00005,INV-00005,VENDOR-049,13997.54,13997.54,13997.54
VAR-000006,TX-1000006,9738-5565-5637,VENDOR-023,PLANT-C,A1,LB,19,20,-1,1,Timing Difference,2025-10-21,43,DOC-662275,PO-26361,INV-7350753,10305.21,19.49,Pattern indicates a timing difference between feeder and ERP posting dates (in-transit or lagging batch).,Confirm posting lag; re-check after next interface cycle; document timing evidence.,0.93,FALSE,FALSE,Timing Difference,"DOC-001377,DOC-001378",variance,PO-00006,INV-00006,RCPT-00006,PO-00006,GL-00006,INV-00006,VENDOR-023,10305.21,10305.21,10305.21
VAR-000007,TX-1000007,7453-3298-2983,VENDOR-036,PLANT-C,C3,BX,27,26,1,1,Manual Entry Error,2025-10-04,40,DOC-838797,PO-19116,INV-1768805,15252.51,327.05,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.65,FALSE,FALSE,Manual Entry Error,DOC-001379,variance,PO-00007,INV-00007,RCPT-00007,PO-00007,GL-00007,INV-00007,VENDOR-036,15252.51,15252.51,15252.51
VAR-000008,TX-1000008,9523-9257-9836,VENDOR-015,PLANT-C,A1,BX,20,20,0,0,Stale Master Data,2025-09-20,38,DOC-205907,PO-59823,INV-5663623,23414.93,362.1,Evidence suggests stale or outdated master data driving a mismatch in posting/validation.,Refresh/update master data; document update and effect on downstream posting.,0.64,FALSE,FALSE,Stale Master Data,"DOC-001380,DOC-001381",variance,PO-00008,INV-00008,RCPT-00008,PO-00008,GL-00008,INV-00008,VENDOR-015,23414.93,23414.93,23414.93
VAR-000009,TX-1000009,4853-3033-5974,VENDOR-041,PLANT-C,B2,CS,20,17,3,3,Missing Receipt,2025-10-25,43,DOC-472528,PO-37460,INV-5479144,22729.72,362.39,Expected receiving activity not found; variance likely tied to incomplete receipt recording.,Validate receiving documentation; record receipt or correct receiving linkage; document proof.,0.7,FALSE,FALSE,Missing Receipt,"DOC-001382,DOC-001383",variance,PO-00009,INV-00009,RCPT-00009,PO-00009,GL-00009,INV-00009,VENDOR-041,22729.72,22729.72,22729.72
VAR-000010,TX-1000010,9518-3380-5801,VENDOR-060,PLANT-A,B2,BX,21,20,1,1,Reference Data Misalignment,2025-10-24,43,DOC-271339,PO-70589,INV-7366205,10477.05,127.31,"Signals indicate mismatched master/reference data (codes, mappings, or configuration).",Check code mappings; update reference tables; document mapping changes and approvals.,0.64,FALSE,TRUE,Reference Data Misalignment,"DOC-001384,DOC-001385",variance,PO-00010,INV-00010,RCPT-00010,PO-00010,GL-00010,INV-00010,VENDOR-060,10477.05,10477.05,10477.05
VAR-000011,TX-1000011,8067-9172-3630,VENDOR-060,PLANT-B,C3,EA,19,17,2,2,Manual Entry Error,2025-11-12,46,DOC-340174,PO-14207,INV-6292423,13352.92,111.27,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.57,FALSE,TRUE,Manual Entry Error,DOC-001386,variance,PO-00011,INV-00011,RCPT-00011,PO-00011,GL-00011,INV-00011,VENDOR-060,13352.92,13352.92,13352.92
VAR-000012,TX-1000012,1166-2560-6860,VENDOR-018,PLANT-A,B2,CS,16,16,0,0,Unknown / Needs Review,2025-09-20,38,DOC-322955,PO-95909,INV-9375710,12846.36,109.81,Evidence is insufficient or conflicting; escalate for human review with targeted next steps.,Collect additional documentation and structured extracts; escalate with what’s missing.,0.36,TRUE,TRUE,Unknown / Needs Review,DOC-001387,variance,PO-00012,INV-00012,RCPT-00012,PO-00012,GL-00012,INV-00012,VENDOR-018,12846.36,12846.36,12846.36
VAR-000013,TX-1000013,4487-3416-7293,VENDOR-057,PLANT-D,B2,CS,16,16,0,0,Wrong PO Reference,2025-11-26,48,DOC-246413,PO-42325,INV-5408072,23957.26,287.7,Identifiers suggest the wrong PO reference was used in one system or mapped incorrectly.,Validate PO linkage; correct reference; document upstream correction and evidence.,0.49,TRUE,TRUE,Wrong PO Reference,"DOC-001388,DOC-001389",variance,PO-00013,INV-00013,RCPT-00013,PO-00013,GL-00013,INV-00013,VENDOR-057,23957.26,23957.26,23957.26
VAR-000014,TX-1000014,2913-8473-3272,VENDOR-038,PLANT-D,D4,CS,22,25,-3,3,Timing Difference,2025-10-26,43,DOC-329974,PO-28131,INV-9548432,1082.35,458.7,Pattern indicates a timing difference between feeder and ERP posting dates (in-transit or lagging batch).,Confirm posting lag; re-check after next interface cycle; document timing evidence.,0.89,FALSE,TRUE,Timing Difference,DOC-001390,variance,PO-00014,INV-00014,RCPT-00014,PO-00014,GL-00014,INV-00014,VENDOR-038,1082.35,1082.35,1082.35
VAR-000015,TX-1000015,7605-9366-6523,VENDOR-006,PLANT-A,A1,BX,27,26,1,1,Timing Difference,2025-10-24,43,DOC-757924,PO-30969,INV-8082668,22363.27,214.64,Pattern indicates a timing difference between feeder and ERP posting dates (in-transit or lagging batch).,Confirm posting lag; re-check after next interface cycle; document timing evidence.,0.75,FALSE,FALSE,Timing Difference,"DOC-001391,DOC-001392",variance,PO-00015,INV-00015,RCPT-00015,PO-00015,GL-00015,INV-00015,VENDOR-006,22363.27,22363.27,22363.27
VAR-000016,TX-1000016,5017-4328-5465,VENDOR-005,PLANT-D,D4,LB,16,16,0,0,Timing Difference,2025-10-09,41,DOC-654816,PO-42953,INV-1192619,1422.7,183.81,Pattern indicates a timing difference between feeder and ERP posting dates (in-transit or lagging batch).,Confirm posting lag; re-check after next interface cycle; document timing evidence.,0.85,FALSE,TRUE,Timing Difference,"DOC-001393,DOC-001394",variance,PO-00016,INV-00016,RCPT-00016,PO-00016,GL-00016,INV-00016,VENDOR-005,1422.7,1422.7,1422.7
VAR-000017,TX-1000017,5169-6630-1672,VENDOR-047,PLANT-A,C3,CS,14,14,0,0,Conversion Error,2025-09-17,38,DOC-216970,PO-48469,INV-8294150,10347.94,344.84,Signals indicate a conversion factor issue or rounding/decimal shift during transformation between systems.,Validate conversion factors; correct transform rules; rerun affected batch if applicable.,0.7,FALSE,FALSE,Conversion Error,"DOC-001395,DOC-001396",variance,PO-00017,INV-00017,RCPT-00017,PO-00017,GL-00017,INV-00017,VENDOR-047,10347.94,10347.94,10347.94
VAR-000018,TX-1000018,6726-8075-5417,VENDOR-030,PLANT-A,C3,BX,20,20,0,0,Batch Interface Failure,2025-11-05,45,DOC-632342,PO-23947,INV-6007072,13020.35,258.17,Indicators suggest an interface job failure or file rejection caused missing/incorrect downstream posting.,Review interface logs; reprocess file; document job outcome and corrected posting.,0.53,TRUE,TRUE,Batch Interface Failure,DOC-001397,variance,PO-00018,INV-00018,RCPT-00018,PO-00018,GL-00018,INV-00018,VENDOR-030,13020.35,13020.35,13020.35
VAR-000019,TX-1000019,8823-8452-7692,VENDOR-041,PLANT-B,B2,CS,20,15,5,5,Duplicate Transaction,2025-10-23,43,DOC-899550,PO-31174,INV-9897858,11212.54,74.88,Evidence suggests duplicate submission or reprocessing created an offsetting duplicate record.,Identify duplicate root record; reverse/void duplicate; document processing trail.,0.54,TRUE,FALSE,Duplicate Transaction,DOC-001398,variance,PO-00019,INV-00019,RCPT-00019,PO-00019,GL-00019,INV-00019,VENDOR-041,11212.54,11212.54,11212.54
VAR-000020,TX-1000020,1927-6009-8972,VENDOR-001,PLANT-C,D4,EA,20,20,0,0,Unit of Measure Mismatch,2025-10-09,41,DOC-217301,PO-57576,INV-6159230,21880.08,212.83,"Indicators suggest a unit-of-measure mismatch between feeder and ERP (e.g., EA vs CS conversion).",Validate UoM conversion; update mapping/configuration; document reference evidence.,0.71,FALSE,TRUE,Unit of Measure Mismatch,"DOC-001399,DOC-001400,DOC-001401",variance,PO-00020,INV-00020,RCPT-00020,PO-00020,GL-00020,INV-00020,VENDOR-001,21880.08,21880.08,21880.08
VAR-000021,TX-1000021,4747-9441-2346,VENDOR-004,PLANT-B,A1,EA,12,10,2,2,Missing Receipt,2025-09-08,37,DOC-867460,PO-73699,INV-2161193,17942.19,430.86,Expected receiving activity not found; variance likely tied to incomplete receipt recording.,Validate receiving documentation; record receipt or correct receiving linkage; document proof.,0.64,FALSE,FALSE,Missing Receipt,DOC-001402,variance,PO-00021,INV-00021,RCPT-00021,PO-00021,GL-00021,INV-00021,VENDOR-004,17942.19,17942.19,17942.19
VAR-000022,TX-1000022,6062-2054-5632,VENDOR-035,PLANT-B,B2,LB,23,23,0,0,Timing Difference,2025-10-11,41,DOC-676510,PO-31643,INV-5446912,18235.99,444.03,Pattern indicates a timing difference between feeder and ERP posting dates (in-transit or lagging batch).,Confirm posting lag; re-check after next interface cycle; document timing evidence.,0.47,TRUE,FALSE,Timing Difference,"DOC-001403,DOC-001404",variance,PO-00022,INV-00022,RCPT-00022,PO-00022,GL-00022,INV-00022,VENDOR-035,18235.99,18235.99,18235.99
VAR-000023,TX-1000023,6451-9050-7382,VENDOR-056,PLANT-D,B2,BX,21,22,-1,1,Unit of Measure Mismatch,2025-09-07,36,DOC-847581,PO-50857,INV-7693979,7944.91,586.25,"Indicators suggest a unit-of-measure mismatch between feeder and ERP (e.g., EA vs CS conversion).",Validate UoM conversion; update mapping/configuration; document reference evidence.,0.74,FALSE,FALSE,Unit of Measure Mismatch,DOC-001405,variance,PO-00023,INV-00023,RCPT-00023,PO-00023,GL-00023,INV-00023,VENDOR-056,7944.91,7944.91,7944.91
VAR-000024,TX-1000024,4673-1687-3113,VENDOR-042,PLANT-C,D4,LB,26,25,1,1,Conversion Error,2025-10-15,42,DOC-226882,PO-42493,INV-4769795,11877.23,499.39,Signals indicate a conversion factor issue or rounding/decimal shift during transformation between systems.,Validate conversion factors; correct transform rules; rerun affected batch if applicable.,0.83,FALSE,FALSE,Conversion Error,DOC-001406,variance,PO-00024,INV-00024,RCPT-00024,PO-00024,GL-00024,INV-00024,VENDOR-042,11877.23,11877.23,11877.23
VAR-000025,TX-1000025,2214-3440-2675,VENDOR-022,PLANT-A,B2,BX,18,20,-2,2,Partial Posting,2025-11-24,48,DOC-107540,PO-19305,INV-1987737,32557.43,6840.50,Records suggest partial posting occurred (split posting or incomplete upstream transmission).,Trace upstream posting; confirm split items; complete posting or adjust as required.,0.73,FALSE,TRUE,Partial Posting,DOC-001407,variance,PO-00025,INV-00025,RCPT-00025,PO-00025,GL-00025,INV-00025,VENDOR-022,32557.43,32557.43,32557.43
VAR-000026,TX-1000026,1600-3719-6109,VENDOR-005,PLANT-A,C3,EA,17,17,0,0,Wrong Vendor Mapping,2025-10-14,42,DOC-639131,PO-41195,INV-5672073,8476.62,265.43,Evidence suggests the vendor mapping/crosswalk is incorrect or inconsistent across systems.,Validate vendor crosswalk; correct mapping; document change control and approvals.,0.71,FALSE,FALSE,Wrong Vendor Mapping,DOC-001408,variance,PO-00026,INV-00026,RCPT-00026,PO-00026,GL-00026,INV-00026,VENDOR-005,8476.62,8476.62,8476.62
VAR-000027,TX-1000027,4673-1687-3113,VENDOR-032,PLANT-B,B2,LB,23,23,0,0,Timing Difference,2025-09-27,39,DOC-354801,PO-71993,INV-7829332,23386.92,166.67,Pattern indicates a timing difference between feeder and ERP posting dates (in-transit or lagging batch).,Confirm posting lag; re-check after next interface cycle; document timing evidence.,0.74,FALSE,FALSE,Timing Difference,DOC-001409,variance,PO-00027,INV-00027,RCPT-00027,PO-00027,GL-00027,INV-00027,VENDOR-032,23386.92,23386.92,23386.92
VAR-000028,TX-1000028,3940-3658-9468,VENDOR-007,PLANT-A,D4,CS,22,27,-5,5,Batch Interface Failure,2025-11-20,47,DOC-544154,PO-63883,INV-8835373,16760.09,242.92,Indicators suggest an interface job failure or file rejection caused missing/incorrect downstream posting.,Review interface logs; reprocess file; document job outcome and corrected posting.,0.57,FALSE,TRUE,Batch Interface Failure,DOC-001410,variance,PO-00028,INV-00028,RCPT-00028,PO-00028,GL-00028,INV-00028,VENDOR-007,16760.09,16760.09,16760.09
VAR-000029,TX-1000029,5475-4453-9315,VENDOR-047,PLANT-A,A1,EA,25,26,-1,1,Missing Receipt,2025-11-01,44,DOC-522179,PO-54473,INV-2833230,12469.58,474.3,Expected receiving activity not found; variance likely tied to incomplete receipt recording.,Validate receiving documentation; record receipt or correct receiving linkage; document proof.,0.55,FALSE,FALSE,Missing Receipt,DOC-001411,variance,PO-00029,INV-00029,RCPT-00029,PO-00029,GL-00029,INV-00029,VENDOR-047,12469.58,12469.58,12469.58
VAR-000030,TX-1000030,9735-1635-4000,VENDOR-013,PLANT-B,D4,BX,18,18,0,0,Manual Entry Error,2025-10-28,44,DOC-542374,PO-34050,INV-5673212,20740.35,114.35,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.77,FALSE,TRUE,Manual Entry Error,"DOC-001412,DOC-001413",variance,PO-00030,INV-00030,RCPT-00030,PO-00030,GL-00030,INV-00030,VENDOR-013,20740.35,20740.35,20740.35
VAR-000031,TX-1000031,2188-3442-2800,VENDOR-016,PLANT-A,D4,EA,21,22,-1,1,Missing Receipt,2025-09-11,37,DOC-153045,PO-95477,INV-1247595,13650.14,383.56,Expected receiving activity not found; variance likely tied to incomplete receipt recording.,Validate receiving documentation; record receipt or correct receiving linkage; document proof.,0.67,FALSE,FALSE,Missing Receipt,,variance,PO-00031,INV-00031,RCPT-00031,PO-00031,GL-00031,INV-00031,VENDOR-016,13650.14,13650.14,13650.14
VAR-000032,TX-1000032,9644-7238-5472,VENDOR-060,PLANT-B,B2,LB,18,17,1,1,Timing Difference,2025-11-06,45,DOC-609231,PO-73092,INV-4586084,17865.2,45.13,Pattern indicates a timing difference between feeder and ERP posting dates (in-transit or lagging batch).,Confirm posting lag; re-check after next interface cycle; document timing evidence.,0.69,FALSE,TRUE,Timing Difference,"DOC-001414,DOC-001415",variance,PO-00032,INV-00032,RCPT-00032,PO-00032,GL-00032,INV-00032,VENDOR-060,17865.2,17865.2,17865.2
VAR-000033,TX-1000033,5475-4453-9315,VENDOR-026,PLANT-A,B2,LB,23,20,3,3,Manual Entry Error,2025-10-23,43,DOC-102260,PO-61173,INV-5449368,17669.34,227.03,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.65,FALSE,FALSE,Manual Entry Error,"DOC-001416,DOC-001417",variance,PO-00033,INV-00033,RCPT-00033,PO-00033,GL-00033,INV-00033,VENDOR-026,17669.34,17669.34,17669.34
VAR-000034,TX-1000034,7519-7413-5311,VENDOR-051,PLANT-D,C3,LB,17,17,0,0,Unknown / Needs Review,2025-10-19,42,DOC-830429,PO-82845,INV-9164991,7323.3,52.2,Evidence is insufficient or conflicting; escalate for human review with targeted next steps.,Collect additional documentation and structured extracts; escalate with what’s missing.,0.5,TRUE,TRUE,Unknown / Needs Review,"DOC-001418,DOC-001419",variance,PO-00034,INV-00034,RCPT-00034,PO-00034,GL-00034,INV-00034,VENDOR-051,7323.3,7323.3,7323.3
VAR-000035,TX-1000035,1921-3874-6988,VENDOR-013,PLANT-C,B2,EA,16,17,-1,1,Unknown / Needs Review,2025-09-25,39,DOC-707314,PO-81066,INV-2022698,3250.96,182.45,Evidence is insufficient or conflicting; escalate for human review with targeted next steps.,Collect additional documentation and structured extracts; escalate with what’s missing.,0.43,TRUE,FALSE,Unknown / Needs Review,DOC-001420,variance,PO-00035,INV-00035,RCPT-00035,PO-00035,GL-00035,INV-00035,VENDOR-013,3250.96,3250.96,3250.96
VAR-000036,TX-1000036,2913-8473-3272,VENDOR-021,PLANT-A,A1,LB,20,19,1,1,Wrong Vendor Mapping,2025-09-16,38,DOC-627276,PO-79615,INV-3641282,13072.69,1211.22,Evidence suggests the vendor mapping/crosswalk is incorrect or inconsistent across systems.,Validate vendor crosswalk; correct mapping; document change control and approvals.,0.54,TRUE,TRUE,Wrong Vendor Mapping,DOC-001421,variance,PO-00036,INV-00036,RCPT-00036,PO-00036,GL-00036,INV-00036,VENDOR-021,13072.69,13072.69,13072.69
VAR-000037,TX-1000037,4506-7176-3903,VENDOR-033,PLANT-A,B2,EA,20,23,-3,3,Conversion Error,2025-10-10,41,DOC-723939,PO-18907,INV-4946066,19257.95,565.79,Signals indicate a conversion factor issue or rounding/decimal shift during transformation between systems.,Validate conversion factors; correct transform rules; rerun affected batch if applicable.,0.75,FALSE,TRUE,Conversion Error,"DOC-001422,DOC-001423",variance,PO-00037,INV-00037,RCPT-00037,PO-00037,GL-00037,INV-00037,VENDOR-033,19257.95,19257.95,19257.95
VAR-000038,TX-1000038,1166-2560-6860,VENDOR-008,PLANT-B,A1,EA,26,28,-2,2,Manual Entry Error,2025-10-05,40,DOC-539589,PO-96163,INV-9770838,9568.01,169.47,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.87,FALSE,FALSE,Manual Entry Error,DOC-001424,variance,PO-00038,INV-00038,RCPT-00038,PO-00038,GL-00038,INV-00038,VENDOR-008,9568.01,9568.01,9568.01
VAR-000039,TX-1000039,1252-8461-3001,VENDOR-060,PLANT-C,B2,CS,20,20,0,0,Reference Data Misalignment,2025-09-06,36,DOC-350280,PO-44814,INV-7640184,4542.12,278.1,"Signals indicate mismatched master/reference data (codes, mappings, or configuration).",Check code mappings; update reference tables; document mapping changes and approvals.,0.62,FALSE,FALSE,Reference Data Misalignment,,variance,PO-00039,INV-00039,RCPT-00039,PO-00039,GL-00039,INV-00039,VENDOR-060,4542.12,4542.12,4542.12
VAR-000040,TX-1000040,3320-9674-3139,VENDOR-043,PLANT-C,D4,CS,27,28,-1,1,Partial Posting,2025-09-10,37,DOC-888387,PO-19508,INV-1156287,33348.35,14275.00,Records suggest partial posting occurred (split posting or incomplete upstream transmission).,Trace upstream posting; confirm split items; complete posting or adjust as required.,0.7,FALSE,TRUE,Partial Posting,"DOC-001425,DOC-001426",variance,PO-00040,INV-00040,RCPT-00040,PO-00040,GL-00040,INV-00040,VENDOR-043,33348.35,33348.35,33348.35
VAR-000041,TX-1000041,4853-3033-5974,VENDOR-040,PLANT-A,A1,BX,18,21,-3,3,Timing Difference,2025-11-13,46,DOC-630458,PO-44760,INV-3222252,7241.21,87.17,Pattern indicates a timing difference between feeder and ERP posting dates (in-transit or lagging batch).,Confirm posting lag; re-check after next interface cycle; document timing evidence.,0.62,FALSE,FALSE,Timing Difference,"DOC-001427,DOC-001428",variance,PO-00041,INV-00041,RCPT-00041,PO-00041,GL-00041,INV-00041,VENDOR-040,7241.21,7241.21,7241.21
VAR-000042,TX-1000042,4312-5468-5870,VENDOR-023,PLANT-A,B2,CS,15,18,-3,3,Partial Posting,2025-11-14,46,DOC-398830,PO-30676,INV-8351517,14805.68,93.99,Records suggest partial posting occurred (split posting or incomplete upstream transmission).,Trace upstream posting; confirm split items; complete posting or adjust as required.,0.68,FALSE,FALSE,Partial Posting,DOC-001429,variance,PO-00042,INV-00042,RCPT-00042,PO-00042,GL-00042,INV-00042,VENDOR-023,14805.68,14805.68,14805.68
VAR-000043,TX-1000043,1201-2168-6649,VENDOR-035,PLANT-C,A1,CS,25,25,0,0,Manual Entry Error,2025-11-04,45,DOC-795613,PO-23577,INV-3253031,14026.62,126.43,Evidence suggests a manual quantity entry or adjustment was keyed incorrectly (unit/decimal/quantity).,Validate the source entry and submit a corrective adjustment with documented evidence.,0.95,FALSE,TRUE,Manual Entry Error,,variance,PO-00043,INV-00043,RCPT-00043,PO-00043,GL-00043,INV-00043,VENDOR-035,14026.62,14026.62,14026.62
VAR-000044,TX-1000044,1940-2690-2286,VENDOR-008,PLANT-A,B2,CS,18,16,2,2,Unknown / Needs Review,2025-10-08,41,DOC-395442,PO-89276,INV-4533779,21188.37,59.52,Evidence is insufficient or conflicting; escalate for human review with targeted next steps.,Collect additional documentation and structured extracts; escalate with what’s missing.,0.33,TRUE,FALSE,Unknown / Needs Review,DOC-001430,variance,PO-00044,INV-00044,RCPT-00044,PO-00044,GL-00044,INV-00044,VENDOR-008,21188.37,21188.37,21188.37
VAR-000045,TX-1000045,2762-8514-3749,VENDOR-022,PLANT-B,C3,LB,20,18,2,2,Unit of Measure Mismatch,2025-11-17,47,DOC-363319,PO-16658,INV-2548511,12568.3,113.94,"Indicators suggest a unit-of-measure mismatch between feeder and ERP (e.g., EA vs CS conversion).",Validate UoM conversion; update mapping/configuration; document reference evidence.,0.82,FALSE,FALSE,Unit of Measure Mismatch,"DOC-001431,DOC-001432",variance,PO-00045,INV-00045,RCPT-00045,PO-00045,GL-00045,INV-00045,VENDOR-022,12568.3,12568.3,12568.3
VAR-000046,TX-1000046,4790-2881-1896,VENDOR-028,PLANT-C,A1,EA,34,32,2,2,Price Variance,2025-09-06,36,DOC-449759,PO-27146,INV-5394880,17930.73,711.62,Variance likely driven by price mismatch between PO/invoice and posting (pricing update or contract mod).,Validate pricing source; reconcile PO/invoice differences; document contract/price evidence.,0.58,FALSE,FALSE,Price Variance,DOC-001433,variance,PO-00046,INV-00046,RCPT-00046,PO-00046,GL-00046,INV-00046,VENDOR-028,17930.73,17930.73,17930.73
VAR-000047,TX-1000047,6726-8075-5417,VENDOR-048,PLANT-D,D4,EA,21,21,0,0,Conversion Error,2025-09-18,38,DOC-217308,PO-19862,INV-3500715,7314.47,431.04,Signals indicate a conversion factor issue or rounding/decimal shift during transformation between systems.,Validate conversion factors; correct transform rules; rerun affected batch if applicable.,0.72,FALSE,TRUE,Conversion Error,"DOC-001434,DOC-001435,DOC-001436",variance,PO-00047,INV-00047,RCPT-00047,PO-00047,GL-00047,INV-00047,VENDOR-048,7314.47,7314.47,7314.47
VAR-000048,TX-1000048,9066-5152-6460,VENDOR-003,PLANT-C,B2,LB,20,18,2,2,Batch Interface Failure,2025-11-02,44,DOC-233636,PO-15482,INV-6171716,24353.38,92.14,Indicators suggest an interface job failure or file rejection caused missing/incorrect downstream posting.,Review interface logs; reprocess file; document job outcome and corrected posting.,0.47,TRUE,FALSE,Batch Interface Failure,"DOC-001437,DOC-001438",variance,PO-00048,INV-00048,RCPT-00048,PO-00048,GL-00048,INV-00048,VENDOR-003,24353.38,24353.38,24353.38
VAR-000049,TX-1000049,9016-2421-1206,VENDOR-058,PLANT-A,C3,BX,19,19,0,0,Batch Interface Failure,2025-10-04,40,DOC-815198,PO-42706,INV-2724590,5288.18,466.34,Indicators suggest an interface job failure or file rejection caused missing/incorrect downstream posting.,Review interface logs; reprocess file; document job outcome and corrected posting.,0.6,FALSE,FALSE,Batch Interface Failure,DOC-001439,variance,PO-00049,INV-00049,RCPT-00049,PO-00049,GL-00049,INV-00049,VENDOR-058,5288.18,5288.18,5288.18
